khu_vuc,he_thong,mua_vao,ban_ra
TP.Hồ Chí Minh,SJC,8.199.000,8.190.854
,PNJ,7.950.000,8.190.000
,DOJI,7.900.000,8.200.000
,Mi Hồng,8.010.000,8.110.000
,Ngọc Thẩm,7.960.000,8.160.000
Hà Nội,SJC,7.950.000,8.192.000
,PNJ,7.950.000,8.190.000
,DOJI,7.900.000,8.200.000
,Bảo Tín Minh Châu,7.950.000,8.165.000
,Bảo Tín Mạnh Hải,7.950.000,8.185.000
,Phú Quý,7.940.000,8.170.000
Đà Nẵng,SJC,7.950.000,8.192.000
,PNJ,7.950.000,8.190.000
,DOJI,7.900.000,8.200.000
,,,
Nha Trang,SJC,7.950.000,8.192.000
Cà Mau,SJC,7.950.000,8.192.000
Huế,SJC,7.947.000,8.192.000
Biên Hòa,SJC,7.950.000,8.190.000
Miền Tây,SJC,7.950.000,8.190.000
,Ngọc Thẩm,7.960.000,8.160.000
Quãng Ngãi,SJC,7.950.000,8.190.000
Bạc Liêu,SJC,7.950.000,8.192.000
Hạ Long,SJC,7.948.000,8.192.000
Đông Nam Bộ,PNJ,7.950.000,8.190.000
,Ngọc Thẩm,7.960.000,8.160.000
